EAN / UPC;Código Maestro;Código Producto;Código Completo (SKU);Marca;Descripción Maestra;Descripción Color;Coste;PVPR;PVPR - Dto1;Dto1;Dto2;Dto3;Dto. Equivalente;Cantidad mínima;Cantidad múltiplo;Cantidad por pack;Stock;Stock 15 días
8050459457612;067H0200;067H0200 101;067H0200 101 M;ROLLERBLADE;CASCO STRIDE HELMET;BLANCO;22,05;44,99;44,99;0,00;51,00;0,00;51,00;1;1;1;20;0
8050459461022;067H0300;067H0300 800;067H0300 800 L;ROLLERBLADE;CASCO DOWNTOWN HELMET;NEGRO/AMARILLO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;20;0
8050459461015;067H0300;067H0300 800;067H0300 800 S;ROLLERBLADE;CASCO DOWNTOWN HELMET;NEGRO/AMARILLO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;20;0
8050459457636;067H0300;067H0300 800;067H0300 800 M;ROLLERBLADE;CASCO DOWNTOWN HELMET;NEGRO/AMARILLO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;20;0
8050459461046;067H0300;067H0300 849;067H0300 849 L;ROLLERBLADE;CASCO DOWNTOWN HELMET;BLANCO/NEGRO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;20;0
8050459461039;067H0300;067H0300 849;067H0300 849 S;ROLLERBLADE;CASCO DOWNTOWN HELMET;BLANCO/NEGRO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;11;0
8050459457650;067H0300;067H0300 849;067H0300 849 M;ROLLERBLADE;CASCO DOWNTOWN HELMET;BLANCO/NEGRO;19,60;39,99;39,99;0,00;51,00;0,00;51,00;1;1;1;20;0
8050459443479;067P0200;067P0200 100;067P0200 100 S;ROLLERBLADE;PROTECCIONES X-GEAR WRISTGUARD;NEGRO;9,80;19,99;19,99;0,00;51,00;0,00;51,00;1;1;1;20;0
8050459444650;067P0200;067P0200 100;067P0200 100 XL;ROLLERBLADE;PROTECCIONES X-GEAR WRISTGUARD;NEGRO;9,80;19,99;19,99;0,00;51,00;0,00;51,00;1;1;1;20;0
8050459443486;067P0200;067P0200 100;067P0200 100 M;ROLLERBLADE;PROTECCIONES X-GEAR WRISTGUARD;NEGRO;9,80;19,99;19,99;0,00;51,00;0,00;51,00;1;1;1;20;0
8050459444643;067P0200;067P0200 100;067P0200 100 L;ROLLERBLADE;PROTECCIONES X-GEAR WRISTGUARD;NEGRO;9,80;19,99;19,99;0,00;51,00;0,00;51,00;1;1;1;20;0
8050459443547;067P0400;067P0400 100;067P0400 100 S;ROLLERBLADE;PROTECCIONES X-GEAR W WRISTGUARD;NEGRO;9,80;19,99;19,99;0,00;51,00;0,00;51,00;1;1;1;1;0
